comment,author,num_likes,rate
"난 솔직히 저런 유흥업소에서 만난 여자에게 진짜 진심으로 &#39;사랑&#39;의 감정을 가진 남자는 100명중 1명도 안될 거라고 생각함. 일단 그 당시에는 뇌가 아랫도리의 지배를 받은 발정난 상태인데다가, 뭐 유흥업소에서 일할 정도면 기본적으로 외모적인 면이라거나 남자를 즐겁게 해주는 성격과 언행이라던가 아니면 성적 매력이라던가 등 남자를 제대로 홀릴 수 있는 기본적인 무기 한둘은 장착하고 있으니 남자는 발정이 난 것을 사랑이라고 착각하는 것임.  게다가 어느 정도 돈이 있어보인다면 공사친다던가 조금이라도 더 쪽쪽 빨아먹으려고 특별히 잘해주니까 남자는 더더욱 빠져들게되지. 그런데 나는 100원을 걸고 그 감정은 사랑이 아니라고 말할 수 있다.",PLOT SAME,3,8.518574714660645
나름 교훈적인.영화네요.생각도 많이 하게 하고..남주분 정말 잘생기심^^,김성시경,3,7.735461711883545
여자도 상처받았을것같아..,모닝,5,7.598667144775391
이 영화 덕분에 술집여자에게 빠지지 않는 사람들이 생겨 날 것 같다,김국환,18,7.205897331237793
보도를 미화하너ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,를쳐하지마,13,4.903056621551514
남주가 넘모 잘생겨써,픽스야 도와줘!,7,7.0779643058776855
아니 도대체 저런일하는 여자애한테 진지한 사랑을 바라는 놈들은 진짜 분별력이 어디로 간거임? 진짜 진지하게 사랑이 가능하다고 생각하나?ㅋㅋ..,지윤,7,4.196499824523926
괜찮은 영화다 싶어서 검색해봤는데 남주가 감독임ㅌㅋㅋ,S C,34,9.738141059875488
유흥업소에서 만난 아가씨는 유흥업소 안에서 끝내라는 것이 철칙.,운한서,287,1.9099153280258179
업소녀랑 로맨스를 꿈꾸는 개호구들 보고있나? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,SH Choi,205,1.6647545099258423
개버릇..남 못준다...힘들면 다시 술집 나가지 어짜피 술집도 힘든데...그냥 적응한거지..!  .저남자도 개버릇 남 못주지..,샤올💕,3,8.257697105407715
ㅋㅋㅋㅋㄱ남주가 너무잘생겼다,한동희,25,8.124580383300781
술집여자를 책임지겠다면서 지맘대로 빚갚고 지맘대로 잘살아보자고 하고선 지가 못해줄것 같으니 상대책임 돌리는 저놈도 모자람,항상웃쟈,7,6.589449405670166
저런 바보같은 남자는 없다고 봄,최정,18,6.760743141174316
실제로 주인공처럼 생기면 여자가 집착합니다,비만붕어,456,6.521410942077637
술집녀도 호빠가서 공사당하고 돈털린다는데 주인공남정도 생기면 돈가따받칠듯,백성공,21,3.680208921432495
많은 생각이 드는 와중에 남주 연기력 대박 계속 뒤따라온 여운때문에 엄마한테 안부연락함 항상 어떤 영화든 가장 중요한건 브금이라 생각하는데 어색치도 않고ㅎㅎ 좋은 영화 잘 보고갑니다,d다니단단b,5,8.37508773803711
힘든거 못버티니 다시 몸 파는 곳으로... 습관이 그래서 무서운 법,JW HEo,23,6.906082630157471
사랑.. 그냥 단어다  어릴때 느끼는 설레임 그래서 누구나 그리워한다,Km a,34,8.464383125305176
술집여자 어디 못간다 돈 돈 돈 없으면 몸판다 돈 잃고 주위 사람들 다 잃는다,Farmer’s son,8,1.4080153703689575
남자가 너무 잘생김ㅋㄱㄱㄱㄱㄱㄱ현실성 없어ㅠㅠ,아아아르헨티나,180,6.178360462188721
좀더 새심한 준비와 끈기가 있었음 성공 했었줄도,sangki yuu,3,7.767425537109375
